art_id	art_version	art_full	status	description	method	location	notes	created_by	customer
509	1	509.1	Approved	"All Terrain 11""w x 9""h"	Screen Print/Heat Transfer		QLV	vrowinsky	000089
510	1	510.1	Approved	"Barrett Tree Services 4"" x 4"""	Screen Print/Heat Transfer		QL5	vrowinsky	000239
511	1	511.1	Approved	"Campo 12""w x 3.1""h"	Screen Print/Heat Transfer		QGR	vrowinsky	000367
512	1	512.1	Approved	"Campo 12""w x 5.77""h"	Screen Print/Heat Transfer		QGS	vrowinsky	000367
454	1	454.1	Approved	"Wolff Tree 3.75""w x 2.5""h"	Screen Print/Heat Transfer		QH2	vrowinsky	002074
455	1	455.1	Approved	"Wolff Tree 12""w x 8""h"	Screen Print/Heat Transfer		QH3	vrowinsky	002074
456	1	456.1	Approved	"Wolff Safety 14.5""w x 2""h"	Screen Print/Heat Transfer		QH4	vrowinsky	002074
457	1	457.1	Approved	"Top Notch Tree (MI) 4""w x 4""h"	Screen Print/Heat Transfer		Q9N	vrowinsky	002223
458	1	458.1	Approved	"Top Notch Tree (MI) 11""w x 11"""	Screen Print/Heat Transfer		Q9M	vrowinsky	002223
459	1	459.1	Approved	"City of Bexley 3.5""w x 2.8""h"	Screen Print/Heat Transfer		Q3B	vrowinsky	000270
425	1	425.1	Approved	Swarts Mowing  3.5”w X 2.49”h	Embroidery		BMW	vrowinsky	002121
426	1	426.1	Approved	"Bartlett Hort 4.06""w X 1.48""h"	Embroidery		AZX	vrowinsky	002120
427	1	427.1	Approved	"HEARTWOOD TREE 3.5""w X 1.34""h"	Embroidery		AS5 - HAT	vrowinsky	004266
428	1	428.1	Approved	"Davey Wickes 3.5""w x 1.04""h"	Embroidery		AFJ	vrowinsky	002388
429	1	429.1	Approved	"Growth Solutions 1.65"" x 2.25"""	Embroidery		AF6 - HAT	vrowinsky	001527
430	1	430.1	Approved	"Treesmiths 4""w x 1.7""h"	Embroidery		AB4	vrowinsky	020619
431	1	431.1	Approved	"New England ISA 3.99""w x 1.16"""	Embroidery		A8B	vrowinsky	001306
432	1	432.1	Approved	"Almstead 2.15""w x 1.96""h"	Embroidery		A1V - HAT	vrowinsky	000092
433	1	433.1	Approved	Arbor Vista (1C) 4”w X 1.52”h	Screen Print/Heat Transfer		SXX	vrowinsky	006060
434	1	434.1	Approved	PG & E 2.6”w X 3”h	Screen Print/Heat Transfer		SVJ	vrowinsky	028474
435	1	435.1	Approved	"Arborwear 2.18""w x 14""h"	Screen Print/Heat Transfer		SLE	vrowinsky	003101
436	1	436.1	Approved	"Arborwear Tag 1.6""w X 1.5""h"	Screen Print/Heat Transfer		RKD - Arborwear - Size Tags for 3rd Party - 100% Cotton - Mens	vrowinsky	003101
437	1	437.1	Approved	SavATree Sussex 4.5”w X 3.02”h	Screen Print/Heat Transfer		SBZ	vrowinsky	002398
438	1	438.1	Approved	SAT Sussex 13.5”w X 9.06”h	Screen Print/Heat Transfer		SC1	vrowinsky	002398
439	1	439.1	Approved	"Southview Design 2.75” X 2.56"""	Screen Print/Heat Transfer		SBT	vrowinsky	033403
440	1	440.1	Approved	Southview Design 7”w X 6.14”h	Screen Print/Heat Transfer		SBU - HVSA	vrowinsky	033403
441	1	441.1	Approved	"SAT Arborscapes 4.6""w x 3""h"	Screen Print/Heat Transfer		SAM	vrowinsky	002398
442	1	442.1	Approved	"SAT Arborscapes 11""w x 7.14""h"	Screen Print/Heat Transfer		S9V	vrowinsky	002398
443	1	443.1	Approved	"Xanderbuilt LC 3.5""w x 1.14""h"	Screen Print/Heat Transfer		SAH	vrowinsky	002098
444	1	444.1	Approved	"Xanderbuilt 10""w x 3.4""h"	Screen Print/Heat Transfer		SAI	vrowinsky	002098
445	1	445.1	Approved	"CLE Metroparks 2""w x 1.8""h"	Screen Print/Heat Transfer		S8R	vrowinsky	000461
446	1	446.1	Approved	"Wise Owl 4""w x 1.6""h"	Screen Print/Heat Transfer		RVH	vrowinsky	022905
447	1	447.1	Approved	"Wise Owl 7.3""w x 12""h"	Screen Print/Heat Transfer		RVJ	vrowinsky	022905
448	1	448.1	Approved	"Zielies Small 4""w x 3.4""h"	Screen Print/Heat Transfer		RRU	vrowinsky	002111
449	1	449.1	Approved	"Western Reserve 2.37""w X 2.2""h"	Screen Print/Heat Transfer		RMQ	vrowinsky	002045
450	1	450.1	Approved	"Integrity Tree 11""w X 4.2""h"	Screen Print/Heat Transfer		RJ9	vrowinsky	000963
451	1	451.1	Approved	"Monster Tree TEAM 12""w x 3.8""h"	Screen Print/Heat Transfer		RSS	vrowinsky	002326
452	1	452.1	Approved	"Superior Tree Care 3.25"" x 4"""	Screen Print/Heat Transfer		QP6	vrowinsky	001793
453	1	453.1	Approved	"Superior Tree Care 10""w x 12""h"	Screen Print/Heat Transfer		QP7	vrowinsky	001793
392	1	392.1	Approved	"NG Gilbert Safety 3""w x 2""h"	Embroidery		A8F	vrowinsky	009845
393	1	393.1	Approved	"ForeverLawn 4""w x .95""h"	Embroidery		A58	vrowinsky	000717
394	1	394.1	Approved	One Asplundh 2”w X 1.43”h	Screen Print/Heat Transfer		TAX - Right Short Sleeve	vrowinsky	002127
395	1	395.1	Approved	Southview 3”w X 2.63”h	Screen Print/Heat Transfer		SX1	vrowinsky	033403
396	1	396.1	Approved	A-Star 3.5”w X 3.7”h	Screen Print/Heat Transfer		SJV	vrowinsky	002440
397	1	397.1	Approved	A-Star 10.4”w X 11”h	Screen Print/Heat Transfer		SJW	vrowinsky	002440
398	1	398.1	Approved	Ruppert Nurseries 4”w x 1.22”h	Screen Print/Heat Transfer		SFL	vrowinsky	001615
399	1	399.1	Approved	Ruppert Nurseries 11”w x 3.36”	Screen Print/Heat Transfer		SFM	vrowinsky	001615
400	1	400.1	Approved	Wachtel 4”w X 2.25”h	Screen Print/Heat Transfer		SFE	vrowinsky	002016
401	1	401.1	Approved	Wachtel 11”w X 8.9”h	Screen Print/Heat Transfer		SAN	vrowinsky	002016
402	1	402.1	Approved	Kendall Vegetation 4”w X 0.85”	Screen Print/Heat Transfer		SDT	vrowinsky	040037
403	1	403.1	Approved	"Kendall 12""w x 2.55""h"	Screen Print/Heat Transfer		SF8	vrowinsky	040037
404	1	404.1	Approved	"Kendall 2.23""w X 13""h"	Screen Print/Heat Transfer		SFA - Sleeve	vrowinsky	040037
405	1	405.1	Approved	"Fiorilli Cons 2.18”w X 2.26""h"	Screen Print/Heat Transfer		SBB	vrowinsky	000697
406	1	406.1	Approved	"Environmental MGMT 4""w X 1.6""h"	Screen Print/Heat Transfer		S6S	vrowinsky	019552
407	1	407.1	Approved	Hidden Creek 4”w X 2.9”h	Screen Print/Heat Transfer		RY9 - SCREEN PRINT ONLY	vrowinsky	000886
408	1	408.1	Approved	Hidden Creek 12”w X 2.16”h	Screen Print/Heat Transfer		RYA	vrowinsky	000886
409	1	409.1	Approved	Vizmeg Landscape 3.25”w X 1.73	Screen Print/Heat Transfer		RXQ	vrowinsky	025827
410	1	410.1	Approved	"Townsend Arborcare 3.5"" X 1.5"""	Screen Print/Heat Transfer		RQA	vrowinsky	002121
411	1	411.1	Approved	"BIP Auburn, LLC 3""w X 2.5""h"	Screen Print/Heat Transfer		RKJ	vrowinsky	020269
413	1	413.1	Approved	"BIP Auburn, LLC 11""w X 9.4""h"	Screen Print/Heat Transfer		RKK	vrowinsky	020269
414	1	414.1	Approved	"Monarch 2.5""w x 1.3""h"	Screen Print/Heat Transfer		R46	vrowinsky	002256
415	1	415.1	Approved	"Town of Parker 4""w x 1.5""h"	Screen Print/Heat Transfer		Q9P	vrowinsky	001417
416	1	416.1	Approved	"Mainscape Back 12""w x 5.3""h"	Screen Print/Heat Transfer		Q63	vrowinsky	001156
417	1	417.1	Approved	"Mainscape - Flag 3""w X 1.5""h"	Screen Print/Heat Transfer		Q65	vrowinsky	001156
418	1	418.1	Approved	"Maier 3.5""w x 1.71""h"	Screen Print/Heat Transfer		Q5Z	vrowinsky	002388
419	1	419.1	Approved	"Carroll Tree Service 4""w x .9"""	Screen Print/Heat Transfer		Q2X - White	vrowinsky	000388
420	1	420.1	Approved	"TCIA Accredited 3""w x 2.6""h"	Screen Print/Heat Transfer		Q9G - Carroll Tree - Black	vrowinsky	000388
421	1	421.1	Approved	"Almstead 10""w X 8.5""h"	Screen Print/Heat Transfer		Q16	vrowinsky	000092
422	1	422.1	Approved	"Almstead 3.36""w x 2.5""h"	Screen Print/Heat Transfer		Q17	vrowinsky	000092
423	1	423.1	Approved	"Stay Sharp 3.45""w x 2.25""h"	Hat Press Heat Press		GDR - PATCH	vrowinsky	003101
424	1	424.1	Approved	Arbor Vista 4.02”w X 1.50”h	Embroidery		BSP	vrowinsky	004619
328	1	328.1	Approved	"Marine Solutions 3.02"" x 1.05"""	Embroidery		BRM	vrowinsky	001167
329	1	329.1	Approved	"Rainbow Tree HAT 2.49” x 1.25"""	Embroidery		BID	mmintz	001527
330	1	330.1	Approved	"SavATree General 4.01"" x 3.01"""	Embroidery		BH3	vrowinsky	002398
331	1	331.1	Approved	"Greenwise Organic 4""w X 1.4""h"	Embroidery		B46	mmintz	000832
332	1	332.1	Approved	"Wolff Tree 3.84""w x 2.26""h"	Embroidery		ATS	mmintz	002074
333	1	333.1	Approved	"Zielies 3.52""w x 3.00""h"	Embroidery		AIZ	mmintz	002111
334	1	334.1	Approved	"Bartlett Consulting 4"" X 1.46"""	Embroidery		ASZ	vrowinsky	002120
335	1	335.1	Approved	"Supreme Indust 4.01""w x 1.44""h"	Embroidery		AAA	vrowinsky	002172
336	1	336.1	Approved	"UAA Stack 3""w x 3.9""h"	Embroidery		ABD	mmintz	002174
337	1	337.1	Approved	"Bartlett Shield 1.77""w x 2.25"""	Embroidery		A2U	mmintz	002120
338	1	338.1	Approved	"ISA Utility Spec 1.71"" x 2.62"""	Embroidery		A6T	vrowinsky	021048
339	1	339.1	Approved	"Ashton Solutions 3.52""w x 1.1"""	Embroidery		A2J	mmintz	002607
340	1	340.1	Approved	"ArborChem 3.5""w x .83""h"	Embroidery		A24	vrowinsky	002133
341	1	341.1	Approved	"Phillips 4""w x 0.69""h"	Screen Print/Heat Transfer		T5K	vrowinsky	001448
342	1	342.1	Approved	"Phillips 11""w x 1.9""h"	Screen Print/Heat Transfer		T5L	mmintz	001448
343	1	343.1	Approved	Arbor Works 1C 4”w X 1.13”h	Screen Print/Heat Transfer		SPX	mmintz	006060
344	1	344.1	Approved	Lewis 7”w X 1.24”h	Screen Print/Heat Transfer		SE8	mmintz	001114
345	1	345.1	Approved	"Southern Line 2""w x 1.14""h"	Screen Print/Heat Transfer		SG1	mmintz	002121
346	1	346.1	Approved	"Ferguson Twp 2.66""w X 3""h"	Screen Print/Heat Transfer		RUE	mmintz	000690
347	1	347.1	Approved	"Pennline ®  8""w X 2.1""h"	Screen Print/Heat Transfer		RQZ	mmintz	002170
348	1	348.1	Approved	"Landscape Unlim. 3.5""w X 2.6""h"	Screen Print/Heat Transfer		RQ7	mmintz	002121
349	1	349.1	Approved	"A Cut Above 7""w x 2.25""h"	Screen Print/Heat Transfer			mmintz	020619
350	1	350.1	Approved	"Xylem Tree 4C  4""w x .80""h"	Screen Print/Heat Transfer		R7Z	mmintz	002102
351	1	351.1	Approved	Arbor Works 2C 4”w X 1.13”h	Screen Print/Heat Transfer		SPZ	vrowinsky	006060
352	1	352.1	Approved	"Davey Wickes 3.5""w x .98""h"	Screen Print/Heat Transfer		QAG	vrowinsky	002388
353	1	353.1	Approved	"Newton Parks 3.61""w X 3""h"	Screen Print/Heat Transfer		QF5	mmintz	001313
356	1	356.1	Approved	"PennLine Vinyl 7""w X 1.93""h"	Screen Print/Heat Transfer		GDE - Vinyl Sticker	vrowinsky	002170
357	1	357.1	Approved	Rainbow Pest 1C 3.53”w X 2.25”	Embroidery		BFC	mmintz	001527
358	1	358.1	Approved	Fiorilli Const. 2.18”w X 2.25”	Embroidery		B4S	mmintz	000697
359	1	359.1	Approved	Southview HAT 2.53”w X 2.2”h	Embroidery		BFA - HAT	vrowinsky	033403
360	1	360.1	Approved	"CAVS 3.78""w X 1.28""h"	Embroidery		AYU	vrowinsky	020619
361	1	361.1	Approved	"Illinois IAA 3.8""w x 2.31""h"	Embroidery		APQ	vrowinsky	000941
362	1	362.1	Approved	"Ferguson Township 2.66""w x 3""h"	Embroidery		B3K	vrowinsky	000690
363	1	363.1	Approved	"AEP 2.25""w x 1.5""h"	Embroidery		AD6 - Reduced No Tagline	mmintz	000113
364	1	364.1	Approved	"SavATree 3.01""w x .53""h"	Embroidery		A9R - Hat Back Straight	mmintz	002398
365	1	365.1	Approved	"Maltby and Co 3.96""w x 1.07""h"	Embroidery		A7M	mmintz	001161
366	1	366.1	Approved	"Kendall Vest 8.75""w x 1.86""h"	Screen Print/Heat Transfer		SFC *Use on XL+ Vests*	mmintz	040037
367	1	367.1	Approved	"City Of Lakewood 3""w x 0.72""h"	Embroidery		A3P	vrowinsky	001086
368	1	368.1	Approved	Moorhead 3.75”w X 0.30”h	Screen Print/Heat Transfer		SD4	mmintz	023426
369	1	369.1	Approved	Southern Line 3.5”w X 2”h	Screen Print/Heat Transfer		SBA	vrowinsky	002121
370	1	370.1	Approved	"Grass w/o Limits® 9""w x 9.19""h"	Screen Print/Heat Transfer		SCK	mmintz	000717
371	1	371.1	Approved	Aspen SAT 4.5”w X 2.16”h	Screen Print/Heat Transfer		S5E	mmintz	002398
372	1	372.1	Approved	Aspen SAT 9”w X 10.41”h	Screen Print/Heat Transfer		S5F	vrowinsky	002398
373	1	373.1	Approved	Xylem Tree Care 8”w X 2.24”h	Screen Print/Heat Transfer		S4T	mmintz	030799
374	1	374.1	Approved	Xylem Tree Care  11”w x 3.08”h	Screen Print/Heat Transfer		S4U	vrowinsky	030799
375	1	375.1	Approved	SavATree 7.5”w X 3.77”h	Screen Print/Heat Transfer		RXZ - Vest FB S & M	mmintz	002398
376	1	376.1	Approved	"Pennline ® 7""w X 1.86""h"	Screen Print/Heat Transfer		RRK	vrowinsky	002170
377	1	377.1	Approved	"Pennline ® 9""w X 2.4""h"	Screen Print/Heat Transfer		RRJ - PREMIUM HiViz	mmintz	002170
378	1	378.1	Approved	"Tri-State Bobcat 12""w x 4.28""h"	Screen Print/Heat Transfer		QA6	mmintz	001927
